Cadena,Unidad de Negocio,Descripción Producto,Cód. Interno,Cód. Cadena,costo_Fabricación,Precio_Venta_Distribuidor,Mg_Declarado,Un_Semana_1 ,Un_Semana_2,Un_Semana_3,Un_Semana_4,Un_Semana_5,Un_Semana_6,Un_Semana_7,Un_Semana_8,Un_Semana_9,Un_Semana_10,Un_Semana_11,Un_Semana_12,Un_Semana_13,Un_Semana_14,Un_Semana_15,Un_Semana_16,Un_Semana_17,Un_Semana_18,Un_Semana_19,Un_Semana_20,Un_Semana_21,Un_Semana_22,Un_Semana_23,Un_Semana_24,Un_Semana_25,Un_Semana_26,Un_Semana_27,Un_Semana_28,Un_Semana_29,Un_Semana_30,Venta_Retail_sem_1 ,Venta_Retail_sem_2,Venta_Retail_sem_3,Venta_Retail_sem_4,Venta_Retail_sem_5,Venta_Retail_sem_6,Venta_Retail_sem_7,Venta_Retail_sem_8,Venta_Retail_sem_9,Venta_Retail_sem_10,Venta_Retail_sem_11,Venta_Retail_sem_12,Venta_Retail_sem_13,Venta_Retail_sem_14,Venta_Retail_sem_15,Venta_Retail_sem_16,Venta_Retail_sem_17,Venta_Retail_sem_18,Venta_Retail_sem_19,Venta_Retail_sem_20,Venta_Retail_sem_21,Venta_Retail_sem_22,Venta_Retail_sem_23,Venta_Retail_sem_24,Venta_Retail_sem_25,Venta_Retail_sem_26,Venta_Retail_sem_27,Venta_Retail_sem_28,Venta_Retail_sem_29,Venta_Retail_sem_30,Con_sem_1,Con_sem_2,Con_sem_3,Con_sem_4,Con_sem_5,Con_sem_6,Con_sem_7,Con_sem_8,Con_sem_9,Con_sem_10,Con_sem_11,Con_sem_12,Con_sem_13,Con_sem_14,Con_sem_15,Con_sem_16,Con_sem_17,Con_sem_18,Con_sem_19,Con_sem_20,Con_sem_21,Con_sem_22,Con_sem_23,Con_sem_24,Con_sem_25,Con_sem_26,Con_sem_27,Con_sem_28,Con_sem_29,Con_sem_30
Hites,Colchones,Respaldo Miro King Ci Cm,780642761738-7,935190001,92872.38,214279.4117647059,0.56658281243565989,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39990,0,0,0,0,0,0,0,0,0,0,0,49990,49990,0,39990,0,0,0,0,29990,0,0,0,0,0,0,0,0,0,-62963.892605042027,0,0,0,0,0,0,0,0,0,0,0,-55484.901008403358,-55484.901008403358,0,-62963.892605042027,0,0,0,0,-70442.884201680674
Falabella,Colchones,Set Maderas Monterrey Super King,780642759805-1,6265084,366226.02,731086.13445378153,0.4990658381537772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307549.60184873955,0,0,0,0,0,0
Ripley,Colchones,Juego Palos Miro King,780642752924-6,35631719,193644.79999999999,444321.42857142864,0.56417857085443301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,639362.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529990.30000000005,629270.81000000006,0,0,0,0,0,0,0,0,0,0,284533.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202734.50000000006,276986.31000000011,0,0,0,0,0,0,0
Paris,Colchones,Juego Palos Miro King,780642752924-6,695579999,193644.79999999999,444321.42857142864,0.56417857085443301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689991,0,0,0,0,0,0,0,0,0,0,1128686,0,-564343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322398.88907563034,0,0,0,0,0,0,0,0,0,0,456853.71092436987,0,-228426.85546218493,0
Falabella,Colchones,Juego Palos Miro 2 Pzas,780642754195-8,4029888,178806.13,390750,0.54240273832373642,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39979.592184873938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hites,Colchones,Juego Palos Miro 2 Pzas,780642754195-8,718379001,178806.13,390750,0.54240273832373642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232530.92882352939,0,0,0,0,0,0,0
Paris,Colchones,Juego Palos Miro 2 Pzas,780642754195-8,695578999,178806.13,390750,0.54240273832373642,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243750.1641176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,Colchones,RESPALDO MIRO ALPINO KING,780642767362-8,17082524,120155.15,214279.4117647059,0.43925947429826373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279990,0,0,0,-279990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89249.135714285716,0,0,0,-89249.135714285716,0,0,0
Walmart,Colchones,RESPALDO MIRO ALPINO KING,780642767362-8,5053656,120155.15,214279.4117647059,0.43925947429826373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342708.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136155.95000000001,0,0,0,0,0,0,0
Sodimac,Colchones,RESPALDO MIRO OLIVO 2PZAS,780642767367-3,7525397,115557.65,201674.36974789918,0.42700874610664924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60412.551680672274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,Colchones,Juego de Palos Milan King,780642757910-4,5304565,111232.54000000001,280455.8823529412,0.60338667505636834,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429990,0,0,0,0,0,0,-429990,0,0,0,0,0,0,147318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210356.61966386557,0,0,0,0,0,0,-210356.61966386557,0,0,0,0,0,0,-1053.5315966386552,0,0,0,0
Sodimac,Colchones,RESPALDO MIRO ALPINO 2PZAS,780642767361-1,7525419,110146.28,201674.36974789918,0.4538409608633604,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470572,0,0,0,0,0,0,0,0,216950,222681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131647.84336134454,0,0,0,0,0,0,0,0,52110.442689075629,56396.652773109265,0,0,0,0,0,0,0,0
Ripley,Colchones,RESPALDO MIRO OLIVO KING,780642767368-0,40046798,107734.95,214279.4117647059,0.49722211241507108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259990.01,-259990.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86711.36000000003,-86711.36000000003,0,0,0,0,0,0,0
Paris,Colchones,Juego de Palos Milan 2 Pza,780642757909-8,847720999,105151.89,239489.49579831935,0.5609331856101476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141648.10159663868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Polar,Colchones,Juego de Palos Milan 2 Pza,780642757909-8,20282240,105151.89,239489.49579831935,0.5609331856101476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279990.34000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104252.65000000004,0,0,0,0,0,0,0,0
Ripley,Colchones,Juego de Palos Milan 2 Pza,780642757909-8,36058325,105151.89,239489.49579831935,0.5609331856101476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349989.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156605.12000000005,0,0,0,0,0,0,0,0,0
Easy,Colchones,Juego de Palos Milan 2 Pza,780642757909-8,1353169,105151.89,239489.49579831935,0.5609331856101476,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309990.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126689.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sodimac,Colchones,RESPALDO MIRO MOSTAZA KING,780642767364-2,7525516,102856.63,214279.4117647059,0.51998827534143166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76255.496050420188,0,0,0,0,0,0,0,0
Sodimac,Colchones,RESPALDO MIRO NEGRO KING,780642767370-3,752529X,93147.71,214279.4117647059,0.56529790131082291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87849.869831932781,0,0,0
Ripley,Colchones,RESPALDO MIRO NEGRO KING,780642767370-3,40046796,93147.71,214279.4117647059,0.56529790131082291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289989.90999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123735.49999999999,0
Paris,Colchones,Respaldo Miro King Ci Cm,780642761738-7,312975999,92872.38,214279.4117647059,0.56658281243565989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300374.73579831939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
